"ALT_SITECODE","LATITUDE","LONGITUDE","GPS_ELEV","NodeNb","date2018225","date2018242","date2019221","date2019225","date2019240","date2020222","date2020226","date2020243","date2021223","date2021224","date2021236","mean","max","sdev","ndates"
"Saddle Pt Quad 13",40.0557318982,-105.592190359,3548.872," 13",39.37,32.89,27.79,25.01,34.97,34.5700000000001,31.95,13.77,27.71,27.83,33.43,29.9354545454546,39.37,6.78532587815259,11
"Saddle Pt Quad 14",40.0556441326,-105.591684788,3542.575," 14",38.27,32.89,27.79,23.23,34.2500000000001,34.33,32.23,14.43,26.5700000000001,29.21,33.45,29.6954545454546,38.27,6.59501685158783,11
"Saddle Pt Quad 15",40.0555192941,-105.591060151,3537.023," 15",39.2500000000001,32.1300000000001,28.0700000000001,23.23,33.5700000000001,35.61,30.93,14.2500000000001,26.5700000000001,28.47,32.6900000000001,29.5245454545455,39.2500000000001,6.72054218591977,11
"Saddle Pt Quad 16",40.0553656701,-105.590542606,3532.149," 16",39.03,32.45,26.87,22.89,34.73,36.0700000000001,30.23,13.67,25.23,28.5700000000001,32.6900000000001,29.3118181818182,39.03,7.07570748149162,11
"Saddle Pt Quad 17",40.0552987138,-105.58993715,3528.725," 17",37.79,32.41,26.2500000000001,22.51,33.0700000000001,34.11,29.83,13.7500000000001,25.23,27.6300000000001,32.6900000000001,28.6609090909091,37.79,6.65540600496386,11
"Saddle Pt Quad 18",40.0551819228,-105.589427149,3530.359," 18",37.7500000000001,32.41,27.29,22.51,33.0700000000001,34.71,29.97,13.39,25.81,27.61,33.37,28.8990909090909,37.7500000000001,6.76838157101896,11
"Saddle Pt Quad 19",40.0550571344,-105.588807984,3531.503," 19",38.09,31.89,26.71,23.77,33.0700000000001,34.37,28.85,12.85,25.49,27.6300000000001,32.71,28.6754545454546,38.09,6.75741424457072,11
"Saddle Pt Quad 20",40.0549543377,-105.58822912,3538.602," 20",39.71,30.95,27.77,23.77,33.2500000000001,34.11,28.65,12.83,25.7500000000001,27.47,32.71,28.8154545454546,39.71,6.9240975782211,11
"Saddle Pt Quad 20A",40.0547820778,-105.587672571,3544.369,"20A",39.71,30.97,28.59,24.39,33.2500000000001,33.01,30.39,12.83,25.7500000000001,28.35,32.93,29.1063636363637,39.71,6.81068465387625,11
"Saddle Pt Quad 21",40.0563377859,-105.593162759,3570.988," 21",38.49,32.79,27.41,24.31,34.29,33.85,31.71,13.65,26.5700000000001,26.45,31.49,29.1827272727273,38.49,6.64576420121733,11
"Saddle Pt Quad 22",40.0562742312,-105.592659397,3561.683," 22",38.43,32.79,27.11,24.31,34.29,33.1300000000001,32.1900000000001,13.5700000000001,26.5700000000001,27.83,31.49,29.2463636363637,38.43,6.59519108552174,11
"Saddle Pt Quad 23",40.0561658281,-105.592031893,3549.991," 23",38.27,32.89,27.79,24.67,34.29,34.33,32.1900000000001,13.7500000000001,26.55,29.37,33.71,29.8009090909091,38.27,6.64587910595047,11
"Saddle Pt Quad 24",40.0560121496,-105.591446479,3541.385," 24",39.2500000000001,32.89,27.87,24.67,34.2500000000001,35.61,31.45,13.7500000000001,27.59,28.6900000000001,33.45,29.9518181818182,39.2500000000001,6.79677249609227,11
"Saddle Pt Quad 25",40.0559041144,-105.590922218,3536.989," 25",39.2500000000001,32.1300000000001,26.87,23.23,33.5700000000001,35.61,31.45,13.7500000000001,26.01,27.97,34.51,29.4863636363637,39.2500000000001,7.02559787167935,11
"Saddle Pt Quad 26",40.0558185394,-105.590349894,3532.565," 26",38.2500000000001,31.1900000000001,26.87,22.89,33.5700000000001,33.71,29.93,13.67,25.23,27.97,33.65,28.8118181818182,38.2500000000001,6.69086813228571,11
"Saddle Pt Quad 27",40.0557358454,-105.589848237,3529.794," 27",37.79,31.1900000000001,26.2500000000001,22.51,33.1300000000001,34.11,29.83,13.7500000000001,25.81,27.2500000000001,33.65,28.6609090909091,37.79,6.64649901007357,11
